"time_period","demscalar_soil_fertilizer_n_per_area","TransformationName","Nation"
4,1,"none","mexico"
5,1,"none","mexico"
6,1,"none","mexico"
7,1,"none","mexico"
8,1,"none","mexico"
9,1,"none","mexico"
10,1,"none","mexico"
11,1,"none","mexico"
12,1,"none","mexico"
13,1,"none","mexico"
14,1,"none","mexico"
15,1,"none","mexico"
16,1,"none","mexico"
17,1,"none","mexico"
18,1,"none","mexico"
19,1,"none","mexico"
20,1,"none","mexico"
21,1,"none","mexico"
22,1,"none","mexico"
23,1,"none","mexico"
24,1,"none","mexico"
25,1,"none","mexico"
26,1,"none","mexico"
27,1,"none","mexico"
28,1,"none","mexico"
29,1,"none","mexico"
30,1,"none","mexico"
31,1,"none","mexico"
32,1,"none","mexico"
33,1,"none","mexico"
34,1,"none","mexico"
35,1,"none","mexico"
0,1,"full","mexico"
1,1,"full","mexico"
2,1,"full","mexico"
3,1,"full","mexico"
4,1,"full","mexico"
5,1,"full","mexico"
6,1,"full","mexico"
7,1,"full","mexico"
8,1,"full","mexico"
9,1,"full","mexico"
10,0.997317954076923,"full","mexico"
11,0.994635908153846,"full","mexico"
12,0.991953862230769,"full","mexico"
13,0.989271816307692,"full","mexico"
14,0.986589770384615,"full","mexico"
15,0.983907724461539,"full","mexico"
16,0.981225678538462,"full","mexico"
17,0.978543632615385,"full","mexico"
18,0.975861586692308,"full","mexico"
19,0.973179540769231,"full","mexico"
20,0.970497494846154,"full","mexico"
21,0.967815448923077,"full","mexico"
22,0.965133403,"full","mexico"
23,0.962451357076923,"full","mexico"
24,0.959769311153846,"full","mexico"
25,0.957087265230769,"full","mexico"
26,0.954405219307692,"full","mexico"
27,0.951723173384615,"full","mexico"
28,0.949041127461538,"full","mexico"
29,0.946359081538461,"full","mexico"
30,0.943677035615385,"full","mexico"
31,0.940994989692308,"full","mexico"
32,0.938312943769231,"full","mexico"
33,0.935630897846154,"full","mexico"
34,0.932948851923077,"full","mexico"
35,0.930266806,"full","mexico"
0,1,"none","nicaragua"
1,1,"none","nicaragua"
2,1,"none","nicaragua"
3,1,"none","nicaragua"
4,1,"none","nicaragua"
5,1,"none","nicaragua"
6,1,"none","nicaragua"
7,1,"none","nicaragua"
8,1,"none","nicaragua"
9,1,"none","nicaragua"
10,1,"none","nicaragua"
11,1,"none","nicaragua"
12,1,"none","nicaragua"
13,1,"none","nicaragua"
14,1,"none","nicaragua"
15,1,"none","nicaragua"
16,1,"none","nicaragua"
17,1,"none","nicaragua"
18,1,"none","nicaragua"
19,1,"none","nicaragua"
20,1,"none","nicaragua"
21,1,"none","nicaragua"
22,1,"none","nicaragua"
23,1,"none","nicaragua"
24,1,"none","nicaragua"
25,1,"none","nicaragua"
26,1,"none","nicaragua"
27,1,"none","nicaragua"
28,1,"none","nicaragua"
29,1,"none","nicaragua"
30,1,"none","nicaragua"
31,1,"none","nicaragua"
32,1,"none","nicaragua"
33,1,"none","nicaragua"
34,1,"none","nicaragua"
35,1,"none","nicaragua"
0,1,"full","nicaragua"
1,1,"full","nicaragua"
2,1,"full","nicaragua"
3,1,"full","nicaragua"
4,1,"full","nicaragua"
5,1,"full","nicaragua"
6,1,"full","nicaragua"
7,1,"full","nicaragua"
8,1,"full","nicaragua"
9,1,"full","nicaragua"
10,0.998824623192308,"full","nicaragua"
11,0.997649246384615,"full","nicaragua"
12,0.996473869576923,"full","nicaragua"
13,0.995298492769231,"full","nicaragua"
14,0.994123115961538,"full","nicaragua"
15,0.992947739153846,"full","nicaragua"
16,0.991772362346154,"full","nicaragua"
17,0.990596985538462,"full","nicaragua"
18,0.989421608730769,"full","nicaragua"
19,0.988246231923077,"full","nicaragua"
20,0.987070855115385,"full","nicaragua"
21,0.985895478307692,"full","nicaragua"
22,0.9847201015,"full","nicaragua"
23,0.983544724692308,"full","nicaragua"
24,0.982369347884615,"full","nicaragua"
25,0.981193971076923,"full","nicaragua"
26,0.980018594269231,"full","nicaragua"
27,0.978843217461538,"full","nicaragua"
28,0.977667840653846,"full","nicaragua"
29,0.976492463846154,"full","nicaragua"
30,0.975317087038462,"full","nicaragua"
31,0.974141710230769,"full","nicaragua"
32,0.972966333423077,"full","nicaragua"
33,0.971790956615385,"full","nicaragua"
34,0.970615579807692,"full","nicaragua"
35,0.969440203,"full","nicaragua"
0,1,"none","panama"
1,1,"none","panama"
2,1,"none","panama"
3,1,"none","panama"
4,1,"none","panama"
5,1,"none","panama"
6,1,"none","panama"
7,1,"none","panama"
8,1,"none","panama"
9,1,"none","panama"
10,1,"none","panama"
11,1,"none","panama"
12,1,"none","panama"
13,1,"none","panama"
14,1,"none","panama"
15,1,"none","panama"
16,1,"none","panama"
17,1,"none","panama"
18,1,"none","panama"
19,1,"none","panama"
20,1,"none","panama"
21,1,"none","panama"
22,1,"none","panama"
23,1,"none","panama"
24,1,"none","panama"
25,1,"none","panama"
26,1,"none","panama"
27,1,"none","panama"
28,1,"none","panama"
29,1,"none","panama"
30,1,"none","panama"
31,1,"none","panama"
32,1,"none","panama"
33,1,"none","panama"
34,1,"none","panama"
35,1,"none","panama"
0,1,"full","panama"
1,1,"full","panama"
2,1,"full","panama"
3,1,"full","panama"
4,1,"full","panama"
5,1,"full","panama"
6,1,"full","panama"
7,1,"full","panama"
8,1,"full","panama"
9,1,"full","panama"
10,0.997342028269231,"full","panama"
11,0.994684056538462,"full","panama"
12,0.992026084807692,"full","panama"
13,0.989368113076923,"full","panama"
14,0.986710141346154,"full","panama"
15,0.984052169615385,"full","panama"
16,0.981394197884615,"full","panama"
17,0.978736226153846,"full","panama"
18,0.976078254423077,"full","panama"
19,0.973420282692308,"full","panama"
20,0.970762310961538,"full","panama"
21,0.968104339230769,"full","panama"
22,0.9654463675,"full","panama"
23,0.962788395769231,"full","panama"
24,0.960130424038462,"full","panama"
25,0.957472452307692,"full","panama"
26,0.954814480576923,"full","panama"
27,0.952156508846154,"full","panama"
28,0.949498537115385,"full","panama"
29,0.946840565384615,"full","panama"
30,0.944182593653846,"full","panama"
31,0.941524621923077,"full","panama"
32,0.938866650192308,"full","panama"
33,0.936208678461538,"full","panama"
34,0.933550706730769,"full","panama"
35,0.930892735,"full","panama"
0,1,"none","paraguay"
1,1,"none","paraguay"
2,1,"none","paraguay"
3,1,"none","paraguay"
4,1,"none","paraguay"
5,1,"none","paraguay"
6,1,"none","paraguay"
7,1,"none","paraguay"
8,1,"none","paraguay"
9,1,"none","paraguay"
10,1,"none","paraguay"
11,1,"none","paraguay"
12,1,"none","paraguay"
13,1,"none","paraguay"
14,1,"none","paraguay"
15,1,"none","paraguay"
16,1,"none","paraguay"
17,1,"none","paraguay"
18,1,"none","paraguay"
19,1,"none","paraguay"
20,1,"none","paraguay"
21,1,"none","paraguay"
22,1,"none","paraguay"
23,1,"none","paraguay"
24,1,"none","paraguay"
25,1,"none","paraguay"
26,1,"none","paraguay"
27,1,"none","paraguay"
28,1,"none","paraguay"
29,1,"none","paraguay"
30,1,"none","paraguay"
31,1,"none","paraguay"
32,1,"none","paraguay"
33,1,"none","paraguay"
34,1,"none","paraguay"
35,1,"none","paraguay"
0,1,"full","paraguay"
1,1,"full","paraguay"
2,1,"full","paraguay"
3,1,"full","paraguay"
4,1,"full","paraguay"
5,1,"full","paraguay"
6,1,"full","paraguay"
7,1,"full","paraguay"
8,1,"full","paraguay"
9,1,"full","paraguay"
10,1,"full","paraguay"
11,1,"full","paraguay"
12,1,"full","paraguay"
13,1,"full","paraguay"
14,1,"full","paraguay"
15,1,"full","paraguay"
16,1,"full","paraguay"
17,1,"full","paraguay"
18,1,"full","paraguay"
19,1,"full","paraguay"
20,1,"full","paraguay"
21,1,"full","paraguay"
22,1,"full","paraguay"
23,1,"full","paraguay"
24,1,"full","paraguay"
25,1,"full","paraguay"
26,1,"full","paraguay"
27,1,"full","paraguay"
28,1,"full","paraguay"
29,1,"full","paraguay"
30,1,"full","paraguay"
31,1,"full","paraguay"
32,1,"full","paraguay"
33,1,"full","paraguay"
34,1,"full","paraguay"
35,1,"full","paraguay"
0,1,"none","peru"
1,1,"none","peru"
2,1,"none","peru"
3,1,"none","peru"
4,1,"none","peru"
5,1,"none","peru"
6,1,"none","peru"
7,1,"none","peru"
8,1,"none","peru"
9,1,"none","peru"
10,1,"none","peru"
11,1,"none","peru"
12,1,"none","peru"
13,1,"none","peru"
14,1,"none","peru"
15,1,"none","peru"
16,1,"none","peru"
17,1,"none","peru"
18,1,"none","peru"
19,1,"none","peru"
20,1,"none","peru"
21,1,"none","peru"
22,1,"none","peru"
23,1,"none","peru"
24,1,"none","peru"
25,1,"none","peru"
26,1,"none","peru"
27,1,"none","peru"
28,1,"none","peru"
29,1,"none","peru"
30,1,"none","peru"
31,1,"none","peru"
32,1,"none","peru"
33,1,"none","peru"
34,1,"none","peru"
35,1,"none","peru"
0,1,"full","peru"
1,1,"full","peru"
2,1,"full","peru"
3,1,"full","peru"
4,1,"full","peru"
5,1,"full","peru"
6,1,"full","peru"
7,1,"full","peru"
8,1,"full","peru"
9,1,"full","peru"
10,0.998064452346154,"full","peru"
11,0.996128904692308,"full","peru"
12,0.994193357038462,"full","peru"
13,0.992257809384615,"full","peru"
14,0.990322261730769,"full","peru"
15,0.988386714076923,"full","peru"
16,0.986451166423077,"full","peru"
17,0.984515618769231,"full","peru"
18,0.982580071115385,"full","peru"
19,0.980644523461538,"full","peru"
20,0.978708975807692,"full","peru"
21,0.976773428153846,"full","peru"
22,0.9748378805,"full","peru"
23,0.972902332846154,"full","peru"
24,0.970966785192308,"full","peru"
25,0.969031237538462,"full","peru"
26,0.967095689884615,"full","peru"
27,0.965160142230769,"full","peru"
28,0.963224594576923,"full","peru"
29,0.961289046923077,"full","peru"
30,0.959353499269231,"full","peru"
31,0.957417951615385,"full","peru"
32,0.955482403961538,"full","peru"
33,0.953546856307692,"full","peru"
34,0.951611308653846,"full","peru"
35,0.949675761,"full","peru"
0,1,"none","suriname"
1,1,"none","suriname"
2,1,"none","suriname"
3,1,"none","suriname"
4,1,"none","suriname"
5,1,"none","suriname"
6,1,"none","suriname"
7,1,"none","suriname"
8,1,"none","suriname"
9,1,"none","suriname"
10,1,"none","suriname"
11,1,"none","suriname"
12,1,"none","suriname"
13,1,"none","suriname"
14,1,"none","suriname"
15,1,"none","suriname"
16,1,"none","suriname"
17,1,"none","suriname"
18,1,"none","suriname"
19,1,"none","suriname"
20,1,"none","suriname"
21,1,"none","suriname"
22,1,"none","suriname"
23,1,"none","suriname"
24,1,"none","suriname"
25,1,"none","suriname"
26,1,"none","suriname"
27,1,"none","suriname"
28,1,"none","suriname"
29,1,"none","suriname"
30,1,"none","suriname"
31,1,"none","suriname"
32,1,"none","suriname"
33,1,"none","suriname"
34,1,"none","suriname"
35,1,"none","suriname"
0,1,"full","suriname"
1,1,"full","suriname"
2,1,"full","suriname"
3,1,"full","suriname"
4,1,"full","suriname"
5,1,"full","suriname"
6,1,"full","suriname"
7,1,"full","suriname"
8,1,"full","suriname"
9,1,"full","suriname"
10,1,"full","suriname"
11,1,"full","suriname"
12,1,"full","suriname"
13,1,"full","suriname"
14,1,"full","suriname"
15,1,"full","suriname"
16,1,"full","suriname"
17,1,"full","suriname"
18,1,"full","suriname"
19,1,"full","suriname"
20,1,"full","suriname"
21,1,"full","suriname"
22,1,"full","suriname"
23,1,"full","suriname"
24,1,"full","suriname"
25,1,"full","suriname"
26,1,"full","suriname"
27,1,"full","suriname"
28,1,"full","suriname"
29,1,"full","suriname"
30,1,"full","suriname"
31,1,"full","suriname"
32,1,"full","suriname"
33,1,"full","suriname"
34,1,"full","suriname"
35,1,"full","suriname"
0,1,"none","trinidad_and_tobago"
1,1,"none","trinidad_and_tobago"
2,1,"none","trinidad_and_tobago"
3,1,"none","trinidad_and_tobago"
4,1,"none","trinidad_and_tobago"
5,1,"none","trinidad_and_tobago"
6,1,"none","trinidad_and_tobago"
7,1,"none","trinidad_and_tobago"
8,1,"none","trinidad_and_tobago"
9,1,"none","trinidad_and_tobago"
10,1,"none","trinidad_and_tobago"
11,1,"none","trinidad_and_tobago"
12,1,"none","trinidad_and_tobago"
13,1,"none","trinidad_and_tobago"
14,1,"none","trinidad_and_tobago"
15,1,"none","trinidad_and_tobago"
16,1,"none","trinidad_and_tobago"
17,1,"none","trinidad_and_tobago"
18,1,"none","trinidad_and_tobago"
19,1,"none","trinidad_and_tobago"
20,1,"none","trinidad_and_tobago"
21,1,"none","trinidad_and_tobago"
22,1,"none","trinidad_and_tobago"
23,1,"none","trinidad_and_tobago"
24,1,"none","trinidad_and_tobago"
25,1,"none","trinidad_and_tobago"
26,1,"none","trinidad_and_tobago"
27,1,"none","trinidad_and_tobago"
28,1,"none","trinidad_and_tobago"
29,1,"none","trinidad_and_tobago"
30,1,"none","trinidad_and_tobago"
31,1,"none","trinidad_and_tobago"
32,1,"none","trinidad_and_tobago"
33,1,"none","trinidad_and_tobago"
34,1,"none","trinidad_and_tobago"
35,1,"none","trinidad_and_tobago"
0,1,"full","trinidad_and_tobago"
1,1,"full","trinidad_and_tobago"
2,1,"full","trinidad_and_tobago"
3,1,"full","trinidad_and_tobago"
4,1,"full","trinidad_and_tobago"
5,1,"full","trinidad_and_tobago"
6,1,"full","trinidad_and_tobago"
7,1,"full","trinidad_and_tobago"
8,1,"full","trinidad_and_tobago"
9,1,"full","trinidad_and_tobago"
10,1,"full","trinidad_and_tobago"
11,1,"full","trinidad_and_tobago"
12,1,"full","trinidad_and_tobago"
13,1,"full","trinidad_and_tobago"
14,1,"full","trinidad_and_tobago"
15,1,"full","trinidad_and_tobago"
16,1,"full","trinidad_and_tobago"
17,1,"full","trinidad_and_tobago"
18,1,"full","trinidad_and_tobago"
19,1,"full","trinidad_and_tobago"
20,1,"full","trinidad_and_tobago"
21,1,"full","trinidad_and_tobago"
22,1,"full","trinidad_and_tobago"
23,1,"full","trinidad_and_tobago"
24,1,"full","trinidad_and_tobago"
25,1,"full","trinidad_and_tobago"
26,1,"full","trinidad_and_tobago"
27,1,"full","trinidad_and_tobago"
28,1,"full","trinidad_and_tobago"
29,1,"full","trinidad_and_tobago"
30,1,"full","trinidad_and_tobago"
31,1,"full","trinidad_and_tobago"
32,1,"full","trinidad_and_tobago"
33,1,"full","trinidad_and_tobago"
34,1,"full","trinidad_and_tobago"
35,1,"full","trinidad_and_tobago"
0,1,"none","uruguay"
1,1,"none","uruguay"
2,1,"none","uruguay"
3,1,"none","uruguay"
4,1,"none","uruguay"
5,1,"none","uruguay"
6,1,"none","uruguay"
7,1,"none","uruguay"
8,1,"none","uruguay"
9,1,"none","uruguay"
10,1,"none","uruguay"
11,1,"none","uruguay"
12,1,"none","uruguay"
13,1,"none","uruguay"
14,1,"none","uruguay"
15,1,"none","uruguay"
16,1,"none","uruguay"
17,1,"none","uruguay"
18,1,"none","uruguay"
19,1,"none","uruguay"
20,1,"none","uruguay"
21,1,"none","uruguay"
22,1,"none","uruguay"
23,1,"none","uruguay"
24,1,"none","uruguay"
25,1,"none","uruguay"
26,1,"none","uruguay"
27,1,"none","uruguay"
28,1,"none","uruguay"
29,1,"none","uruguay"
30,1,"none","uruguay"
31,1,"none","uruguay"
32,1,"none","uruguay"
33,1,"none","uruguay"
34,1,"none","uruguay"
35,1,"none","uruguay"
0,1,"full","uruguay"
1,1,"full","uruguay"
2,1,"full","uruguay"
3,1,"full","uruguay"
4,1,"full","uruguay"
5,1,"full","uruguay"
6,1,"full","uruguay"
7,1,"full","uruguay"
8,1,"full","uruguay"
9,1,"full","uruguay"
10,0.998361197038461,"full","uruguay"
11,0.996722394076923,"full","uruguay"
12,0.995083591115385,"full","uruguay"
13,0.993444788153846,"full","uruguay"
14,0.991805985192308,"full","uruguay"
15,0.990167182230769,"full","uruguay"
16,0.988528379269231,"full","uruguay"
17,0.986889576307692,"full","uruguay"
18,0.985250773346154,"full","uruguay"
19,0.983611970384615,"full","uruguay"
20,0.981973167423077,"full","uruguay"
21,0.980334364461538,"full","uruguay"
22,0.9786955615,"full","uruguay"
23,0.977056758538462,"full","uruguay"
24,0.975417955576923,"full","uruguay"
25,0.973779152615385,"full","uruguay"
26,0.972140349653846,"full","uruguay"
27,0.970501546692308,"full","uruguay"
28,0.968862743730769,"full","uruguay"
29,0.967223940769231,"full","uruguay"
30,0.965585137807692,"full","uruguay"
31,0.963946334846154,"full","uruguay"
32,0.962307531884615,"full","uruguay"
33,0.960668728923077,"full","uruguay"
34,0.959029925961538,"full","uruguay"
35,0.957391123,"full","uruguay"
0,1,"none","venezuela"
1,1,"none","venezuela"
2,1,"none","venezuela"
3,1,"none","venezuela"
4,1,"none","venezuela"
5,1,"none","venezuela"
6,1,"none","venezuela"
7,1,"none","venezuela"
8,1,"none","venezuela"
9,1,"none","venezuela"
10,1,"none","venezuela"
11,1,"none","venezuela"
12,1,"none","venezuela"
13,1,"none","venezuela"
14,1,"none","venezuela"
15,1,"none","venezuela"
16,1,"none","venezuela"
17,1,"none","venezuela"
18,1,"none","venezuela"
19,1,"none","venezuela"
20,1,"none","venezuela"
21,1,"none","venezuela"
22,1,"none","venezuela"
23,1,"none","venezuela"
24,1,"none","venezuela"
25,1,"none","venezuela"
26,1,"none","venezuela"
27,1,"none","venezuela"
28,1,"none","venezuela"
29,1,"none","venezuela"
30,1,"none","venezuela"
31,1,"none","venezuela"
32,1,"none","venezuela"
33,1,"none","venezuela"
34,1,"none","venezuela"
35,1,"none","venezuela"
0,1,"full","venezuela"
1,1,"full","venezuela"
2,1,"full","venezuela"
3,1,"full","venezuela"
4,1,"full","venezuela"
5,1,"full","venezuela"
6,1,"full","venezuela"
7,1,"full","venezuela"
8,1,"full","venezuela"
9,1,"full","venezuela"
10,0.996892725576923,"full","venezuela"
11,0.993785451153846,"full","venezuela"
12,0.990678176730769,"full","venezuela"
13,0.987570902307692,"full","venezuela"
14,0.984463627884615,"full","venezuela"
15,0.981356353461538,"full","venezuela"
16,0.978249079038462,"full","venezuela"
17,0.975141804615385,"full","venezuela"
18,0.972034530192308,"full","venezuela"
19,0.968927255769231,"full","venezuela"
20,0.965819981346154,"full","venezuela"
21,0.962712706923077,"full","venezuela"
22,0.9596054325,"full","venezuela"
23,0.956498158076923,"full","venezuela"
24,0.953390883653846,"full","venezuela"
25,0.950283609230769,"full","venezuela"
26,0.947176334807692,"full","venezuela"
27,0.944069060384615,"full","venezuela"
28,0.940961785961538,"full","venezuela"
29,0.937854511538462,"full","venezuela"
30,0.934747237115385,"full","venezuela"
31,0.931639962692308,"full","venezuela"
32,0.928532688269231,"full","venezuela"
33,0.925425413846154,"full","venezuela"
34,0.922318139423077,"full","venezuela"
35,0.919210865,"full","venezuela"
